,trip_id,title,day,date,start,stop,council,total_duration,active_duration,paused_duration,distance,avg_speed,highest_point,total_ascent,difficulty,rest_day,tent,hut,bed,rain, wind
7,1502642,Heysen Trail Day 1 - Cape Jervis to Eagle Waterhole Shelter.,1,17/5/19 9:13,Cape Jervis,Eagle Waterhole Shelter.,The District Council of Yankalil,6:57:55,4:31:23,2:26:32,16.2,3.6,269,608,Moderate,0,0,1,0,0,0
9,1506403,Heysen Trail Day 2 - Eagle Waterhole to Baquhidder Campsite,2,19/5/19 20:56,Eagle Waterhole,Baquhidder Campsite,City of Victor Harbor,,,,26.4,,268,771,Hard,0,1,0,0,0,0
8,1506276,Heysen Trail Day 3 - Balquhidder Campsite to Victor Habor,3,19/5/19 7:41,Balquhidder Campsite,Victor Habor,The District Council of Yankalil,7:10:26,,,23.7,,195,322,Moderate,0,0,0,1,1,1
10,1508153,Heysen Trail Day 4 - Victor Harbor to Heysen’s Rest B&B (Myponga),4,20/5/19 10:46,Victor Harbor,Heysen’s Rest B&B (Myponga),City of Victor Harbor,8:16:32,7:51:15,0:25:17,35.6,4.5,377,1053,Hard,0,0,0,1,1,0
11,1508930,"Heysen Trail Day 5 - Heysen’s Rest, Myponga to Mt Compass",5,21/5/19 9:03,"Heysen’s Rest, Myponga",Mt Compass,The District Council of Yankalil,11:01:29,6:31:48,4:29:41,25.9,4.0,412,474,Moderate,0,0,0,1,0,0
12,1510167,Heysen Trail Day 6 - Mount Compass to Kuitpo Forest,6,22/5/19 7:38,Mount Compass,Kuitpo Forest,Alexandrina Council,7:53:39,6:38:19,1:15:20,30.8,4.6,389,525,Moderate,0,1,0,0,0,0
13,1511339,Heysen Trail Day 7 - Chookarloo Campsite to Mylor (and home!),7,23/5/19 8:04,Chookarloo Campsite,Mylor (and home!),Mount Barker District Council,7:41:04,6:46:29,0:54:25,31.9,4.7,370,480,Moderate,0,0,0,1,0,0
14,1512041,Heysen Trail Day 8 - Mylor to Mount Lofty Summit,8,24/5/19 9:50,Mylor,Mount Lofty Summit,Adelaide Hills Council,3:12:25,3:11:54,0:00:31,14.7,4.6,705,551,Moderate,0,0,0,1,0,0
15,1513099,Heysen Trail Day 9 - Mount Lofty Summit to Norton Summit,9,25/5/19 7:59,Mount Lofty Summit,Norton Summit,Adelaide Hills Council,3:31:20,3:24:20,0:07:00,15.3,4.5,715,393,Moderate,0,0,0,1,1,1
16,1516730,Heysen Trail Day 10 - Rest Day,10,26/5/19 18:45,Rest Day,,Adelaide Hills Council,0:00:00,0:00:00,0:00:00,0.0,0.0,525,0,rest,1,0,0,0,0,0
17,1518987,Heysen Trail Day 11 - Norton Summit to Grampa’s Camp,11,27/5/19 7:47,Norton Summit,Grampa’s Camp,Adelaide Hills Council,10:02:13,7:15:59,2:46:14,28.2,3.9,573,904,Hard,0,1,0,0,0,0
18,1519514,Heysen Trail Day 12 - Grampa’s Camp to Scotts Shelter,12,28/5/19 9:08,Grampa’s Camp,Scotts Shelter,Adelaide Hills Council,7:05:22,5:34:09,1:31:13,20.9,3.7,511,786,Hard,0,0,1,0,1,1
19,1520846,Heysen Trail Day 13 - Scott’s Shelter to Centennial Campround,13,29/5/19 7:49,Scott’s Shelter,Centennial Campround,Adelaide Hills Council,8:09:05,6:32:57,1:36:08,26.5,4.0,536,614,Moderate,0,1,0,0,0,0
20,1522640,Heysen Trail Day 14 - Centennial Campground to Rossiter’s Hut,14,30/5/19 8:08,Centennial Campground,Rossiter’s Hut,The Barossa Council,7:24:25,6:44:38,0:39:47,28.3,4.2,597,817,Moderate,0,0,1,0,0,0
21,1522876,Heysen Trail Day 15 - Rossiter’s Hut to Tanunda,15,31/5/19 8:31,Rossiter’s Hut,Tanunda,The Barossa Council,3:00:49,2:54:40,0:06:09,12.3,4.2,615,158,Easy,0,0,0,1,0,0
22,1525458,Heysen Trail Day 16 - Tanunda to Kapunda,16,1/6/19 7:17,Tanunda,Kapunda,The Barossa Council,7:32:45,6:54:18,0:38:27,32.9,4.8,359,452,Moderate,0,0,0,1,0,0
23,1527828,Heysen Trail Day 17 - Kapunda Rest Day,17,2/6/19 14:31,Kapunda Rest Day,,Light Regional Council,0:00:00,0:00:00,0:00:00,0.0,0.0,247,0,rest,1,0,0,1,0,0
24,1529593,Heysen Trail Day 18 - Kapunda to Marschalls Hut,18,3/6/19 7:37,Kapunda,Marschalls Hut,Light Regional Council,8:11:40,7:37:42,0:33:58,36.0,4.7,521,652,Moderate,0,0,1,0,1,1
25,1531472,Heysen Trail Day 19 - Marschalls Hut to Smith’s Hill Campsite,19,4/6/19 8:41,Marschalls Hut,Smith’s Hill Campsite,Clare and Gilbert Valleys Counci,6:37:03,5:35:02,1:02:01,26.0,4.7,600,430,Moderate,0,1,0,0,0,0
26,1535830,Heysen Trail Day 20 - Smith’s Hill Campsite to Huppatz Hut,20,5/6/19 8:08,Smith’s Hill Campsite,Huppatz Hut,Clare and Gilbert Valleys Counci,7:38:10,7:00:46,0:37:24,29.9,4.3,611,582,Moderate,0,0,1,0,0,0
27,1535838,Heysen Trail Day 21 - Huppatz Hut to World’s End / Burra Gorge Campsite,21,6/6/19 8:28,Huppatz Hut,World’s End / Burra Gorge Campsite,The Regional Council of Goyder,5:49:23,4:48:45,1:38:00,20.2,4.2,628,332,Moderate,0,1,0,0,0,0
28,1535855,Heysen Trail Day 22 - World’s End / Burra Gorge Campsite to Burra,22,7/6/19 7:49,World’s End / Burra Gorge Campsite,Burra,The Regional Council of Goyder,7:45:59,4:42:48,3:03:11,22.4,4.8,544,311,Moderate,0,0,0,1,0,1
29,1537051,Heysen Trail Day 23 - Burra Rest day,23,8/6/19 14:07,Burra Rest day,,The Regional Council of Goyder,0:00:00,0:00:00,0:00:00,0.0,0.0,473,0,rest,1,0,0,1,0,0
30,1539800,Heysen Trail Day 24 - 2nd Burra Rest Day,24,9/6/19 14:59,2nd Burra Rest Day,,The Regional Council of Goyder,0:00:00,0:00:00,0:00:00,0.0,0.0,530,0,rest,1,0,0,1,0,0
31,1543638,Heysen Trail Day 25 - Burra to Black Jack Shelter,25,10/6/19 7:46,Burra,Black Jack Shelter,The Regional Council of Goyder,10:48:54,7:29:14,3:19:40,30.1,4.0,725,899,Hard,0,1,0,0,0,0
